headcode,origin_location,origin_departure,gps_car_id,total_matching,median_time_error,end,start,iqr_time_error,matched_over_total
5A07,NEVLTMD,2015-03-17 00:08:00,82205,4,-0.55,2015-03-17 00:43:18,2015-03-17 00:30:00,3.1,0.8
5Y27,NWCSTLE,2015-03-17 09:59:00,82217,2,-0.833333333333333,2015-03-17 10:05:06,2015-03-17 09:59:13,2.94166666666667,1
5A06,NEVLTMD,2015-03-17 05:52:00,82229,4,0.266666666666667,2015-03-17 06:23:29,2015-03-17 05:47:11,2.575,1
5A04,NEVLTMD,2015-03-17 05:18:00,40702,3,-0.05,2015-03-17 05:23:15,2015-03-17 05:13:12,2.525,1
5D33,LEEDS,2015-03-17 00:25:00,40732,2,-2.35833333333333,2015-03-17 00:41:37,2015-03-17 00:37:00,1.74166666666667,0.666666666666667
5E30,LEEDS,2015-03-17 00:55:00,40701,2,-3.05833333333333,2015-03-17 01:01:24,2015-03-17 00:55:00,1.65833333333333,0.666666666666667
5Y03,HTONTMD,2015-03-17 04:00:00,82222,2,0.816666666666667,2015-03-17 04:06:23,2015-03-17 03:55:59,1.2,1
1Y32,NWCSTLE,2015-03-17 12:25:00,82226,29,-0.558333333333333,2015-03-17 14:29:19,2015-03-17 12:25:00,1.14166666666667,1
1S01,NWCSTLE,2015-03-17 06:22:00,40748,18,-0.883333333333333,2015-03-17 08:05:51,2015-03-17 06:22:00,1.08333333333333,1
1S15,KNGX,2015-03-17 11:30:00,82211,40,-0.95,2015-03-17 14:25:55,2015-03-17 11:29:00,1.075,0.952380952380952
1N81,KNGX,2015-03-17 09:08:00,40702,34,-0.725,2015-03-17 11:28:58,2015-03-17 09:07:00,1.05416666666667,1
1Y82,YORK,2015-03-17 10:03:00,82207,32,-0.716666666666667,2015-03-17 12:21:00,2015-03-17 10:09:00,1.05,0.96969696969697
1B86,KNGX,2015-03-17 14:08:00,82223,7,-0.516666666666667,2015-03-17 14:29:29,2015-03-17 14:07:00,1.03333333333333,0.777777777777778
1Y86,YORK,2015-03-17 14:02:00,82201,8,-0.733333333333333,2015-03-17 14:30:30,2015-03-17 14:08:00,1.03333333333333,0.888888888888889
1D02,KNGX,2015-03-17 06:30:00,82215,34,-0.908333333333333,2015-03-17 08:54:03,2015-03-17 06:29:00,1.025,0.944444444444444
5Y05,HTONTMD,2015-03-17 04:39:00,82203,2,0.35,2015-03-17 04:49:39,2015-03-17 04:38:39,1,0.666666666666667
1A04,LEEDS,2015-03-17 06:05:00,40702,36,-0.75,2015-03-17 08:36:01,2015-03-17 06:04:00,1,0.972972972972973
1N85,KNGX,2015-03-17 13:08:00,40711,18,-0.783333333333333,2015-03-17 14:24:00,2015-03-17 13:07:00,1,0.9
1A30,LEEDS,2015-03-17 12:45:00,40708,24,-0.933333333333333,2015-03-17 14:30:16,2015-03-17 12:44:00,0.983333333333333,1
1Y84,YORK,2015-03-17 12:03:00,40702,33,-0.591666666666667,2015-03-17 14:23:00,2015-03-17 12:02:00,0.95,1
