headcode,origin_location,origin_departure,gps_car_id,total_matching,median_time_error,end,start,iqr_time_error,matched_over_total
5E78,ASHONUL,2016-03-30 10:55:00,150133,3,-0.533333333333333,2016-03-30 11:07:07,2016-03-30 10:54:00,4.5,1
5F12,KNTNGLY,2016-03-30 10:03:00,150270,2,-1.03333333333333,2016-03-30 10:13:52,2016-03-30 09:56:12,3.16666666666667,1
5E80,ASHONUL,2016-03-30 11:55:00,150223,3,0.383333333333333,2016-03-30 12:10:47,2016-03-30 12:02:17,3.04166666666667,1
5U27,MSTN,2016-03-30 12:00:00,150226,2,1.06666666666667,2016-03-30 12:02:00,2016-03-30 11:57:11,2.79166666666667,1
5R64,ADWICK,2016-03-30 09:43:00,150115,2,-0.416666666666667,2016-03-30 10:15:15,2016-03-30 09:41:25,2.70833333333333,1
5J58,CLITHRO,2016-03-30 11:17:00,150210,2,0.0666666666666667,2016-03-30 11:36:00,2016-03-30 11:16:56,2.33333333333333,1
5J58,CLITHRO,2016-03-30 11:17:00,150210,2,0.0666666666666667,2016-03-30 11:36:00,2016-03-30 11:16:56,2.33333333333333,1
5J58,CLITHRO,2016-03-30 11:17:00,156441,2,0.183333333333333,2016-03-30 11:36:00,2016-03-30 11:16:49,2.25,1
5J58,CLITHRO,2016-03-30 11:17:00,156441,2,0.183333333333333,2016-03-30 11:36:00,2016-03-30 11:16:49,2.25,1
5E76,ASHONUL,2016-03-30 09:55:00,150223,2,-0.533333333333333,2016-03-30 10:01:37,2016-03-30 09:57:00,2.16666666666667,1
5A12,GTSHDMC,2016-03-30 10:54:00,156443,2,-0.266666666666667,2016-03-30 11:02:46,2016-03-30 10:53:36,2.16666666666667,1
2D06,MDLSBRO,2016-03-30 07:04:00,156448,3,-0.116666666666667,2016-03-30 08:38:00,2016-03-30 07:16:00,2,0.75
5U25,MSTN,2016-03-30 11:00:00,155342,1,-0.483333333333333,2016-03-30 11:03:19,2016-03-30 10:59:39,1.83333333333333,1
2M10,LEEDS,2016-03-30 12:18:00,158849,6,0.0166666666666667,2016-03-30 12:41:00,2016-03-30 12:18:00,1.70833333333333,0.6
5N22,STKP,2016-03-30 08:00:00,150228,4,-0.733333333333333,2016-03-30 08:17:44,2016-03-30 07:57:04,1.66666666666667,1
5N22,STKP,2016-03-30 08:00:00,150228,4,-0.733333333333333,2016-03-30 08:17:44,2016-03-30 07:57:04,1.66666666666667,1
5N22,STKP,2016-03-30 08:00:00,150134,4,-0.783333333333333,2016-03-30 08:17:37,2016-03-30 07:56:57,1.66666666666667,1
5N22,STKP,2016-03-30 08:00:00,150134,4,-0.783333333333333,2016-03-30 08:17:37,2016-03-30 07:56:57,1.66666666666667,1
2H81,APBY,2016-03-30 06:32:00,158905,16,-0.383333333333333,2016-03-30 08:33:00,2016-03-30 06:30:26,1.64166666666667,0.727272727272727
5W27,GTSHDMC,2016-03-30 10:23:00,156480,2,-0.416666666666667,2016-03-30 10:32:15,2016-03-30 10:22:25,1.5,1
1J26,BRDLNGT,2016-03-30 11:11:00,158816,17,-0.266666666666667,2016-03-30 12:42:00,2016-03-30 11:11:00,1.5,0.708333333333333
5T04,HAZL,2016-03-30 08:50:00,150135,6,-0.933333333333333,2016-03-30 09:37:31,2016-03-30 08:56:00,1.33333333333333,1
5T04,HAZL,2016-03-30 08:50:00,150135,6,-0.933333333333333,2016-03-30 09:37:31,2016-03-30 08:56:00,1.33333333333333,1
2A12,SOUTHPT,2016-03-30 12:23:00,156483,5,-0.366666666666667,2016-03-30 12:41:12,2016-03-30 12:22:00,1.33333333333333,0.357142857142857
1B12,YORK,2016-03-30 07:18:00,158752,43,-0.55,2016-03-30 10:18:28,2016-03-30 07:23:00,1.29166666666667,0.977272727272727
5T04,HAZL,2016-03-30 08:50:00,150117,6,-0.933333333333333,2016-03-30 09:37:16,2016-03-30 08:56:00,1.29166666666667,1
5T04,HAZL,2016-03-30 08:50:00,150117,6,-0.933333333333333,2016-03-30 09:37:16,2016-03-30 08:56:00,1.29166666666667,1
2C12,LEEDS,2016-03-30 08:01:00,153330,12,-0.383333333333333,2016-03-30 08:48:03,2016-03-30 08:00:00,1.25,1
2C29,YORK,2016-03-30 12:11:00,150144,12,-0.466666666666667,2016-03-30 12:39:38,2016-03-30 12:11:00,1.25,0.666666666666667
2H33,CHST,2016-03-30 06:58:00,150145,21,-0.433333333333333,2016-03-30 08:32:36,2016-03-30 07:11:00,1.25,0.954545454545455
2M44,LEEDS,2016-03-30 11:51:00,158756,10,-0.216666666666667,2016-03-30 12:42:00,2016-03-30 11:50:00,1.25,0.666666666666667
2W12,GLBRDYK,2016-03-30 07:39:00,158855,12,-0.233333333333333,2016-03-30 09:38:00,2016-03-30 07:34:34,1.20833333333333,1
2H55,ROHL,2016-03-30 09:53:00,150272,16,-0.833333333333333,2016-03-30 10:28:00,2016-03-30 09:52:00,1.16666666666667,1
2C08,LEEDS,2016-03-30 07:14:00,150203,22,-0.716666666666667,2016-03-30 08:27:00,2016-03-30 07:14:00,1.16666666666667,1
2S10,MNCRPIC,2016-03-30 07:08:00,150132,24,-0.55,2016-03-30 08:31:00,2016-03-30 07:04:28,1.16666666666667,1
1J27,SCARBRO,2016-03-30 11:28:00,158851,14,-0.65,2016-03-30 12:37:29,2016-03-30 11:28:00,1.16666666666667,1
2C19,KNRSBGH,2016-03-30 10:06:00,155346,11,-0.583333333333333,2016-03-30 10:49:05,2016-03-30 10:09:00,1.16666666666667,0.916666666666667
2J66,KKBY,2016-03-30 09:30:00,150119,21,-0.383333333333333,2016-03-30 10:42:03,2016-03-30 09:25:03,1.16666666666667,1
2C19,KNRSBGH,2016-03-30 10:06:00,153358,11,-0.666666666666667,2016-03-30 10:49:00,2016-03-30 10:09:00,1.16666666666667,0.916666666666667
2A12,SOUTHPT,2016-03-30 12:23:00,150140,5,-0.366666666666667,2016-03-30 12:41:12,2016-03-30 12:22:00,1.16666666666667,0.357142857142857
2H86,LEEDS,2016-03-30 10:49:00,158793,18,-0.383333333333333,2016-03-30 11:54:13,2016-03-30 10:48:00,1.16666666666667,0.857142857142857
2J66,KKBY,2016-03-30 09:30:00,150142,21,-0.35,2016-03-30 10:42:01,2016-03-30 09:25:01,1.16666666666667,1
2H85,APBY,2016-03-30 09:35:00,158907,24,-0.45,2016-03-30 11:38:22,2016-03-30 09:35:00,1.16666666666667,0.888888888888889
2C22,LEEDS,2016-03-30 10:29:00,150224,22,-0.583333333333333,2016-03-30 11:44:25,2016-03-30 10:29:00,1.16666666666667,1
2C28,LEEDS,2016-03-30 11:59:00,155345,10,-0.583333333333333,2016-03-30 12:41:25,2016-03-30 11:59:00,1.16666666666667,0.909090909090909
2S15,SHEFFLD,2016-03-30 07:12:00,150146,18,-0.7,2016-03-30 08:42:22,2016-03-30 07:07:49,1.13333333333333,0.947368421052632
2H09,BUXTON,2016-03-30 07:48:00,150225,12,-0.4,2016-03-30 08:42:00,2016-03-30 07:48:00,1.125,1
2C12,LEEDS,2016-03-30 08:01:00,155345,12,-0.416666666666667,2016-03-30 08:48:05,2016-03-30 08:00:00,1.125,1
2S25,SHEFFLD,2016-03-30 10:14:00,150146,22,-0.416666666666667,2016-03-30 11:40:12,2016-03-30 10:09:12,1.11666666666667,0.956521739130435
2S16,MNCRPIC,2016-03-30 08:49:00,150146,26,-0.7,2016-03-30 10:13:42,2016-03-30 08:46:08,1.1,0.928571428571429
2C43,MORCAME,2016-03-30 08:23:00,153352,19,-0.533333333333333,2016-03-30 09:50:00,2016-03-30 08:23:00,1.08333333333333,1
2C43,MORCAME,2016-03-30 08:23:00,153352,19,-0.533333333333333,2016-03-30 09:50:00,2016-03-30 08:23:00,1.08333333333333,1
