headcode,origin_location,origin_departure,gps_car_id,total_matching,median_time_error,end,start,iqr_time_error,matched_over_total
5D33,LEEDS,2015-03-17 00:25:00,40701,2,1.45,2015-03-17 00:44:00,2015-03-17 00:40:27,2.1,0.666666666666667
5A07,NEVLTMD,2015-03-17 00:08:00,40701,1,-2.95,2015-03-17 00:44:57,2015-03-17 00:42:00,0,0.2
5A07,NEVLTMD,2015-03-17 00:08:00,40732,2,-1.6,2015-03-17 00:42:00,2015-03-17 00:37:00,2.5,0.4
5Y52,KNGX,2015-03-17 00:53:00,82204,1,0.9,2015-03-17 00:58:00,2015-03-17 00:57:06,0,0.25
5Y52,KNGX,2015-03-17 00:53:00,82211,3,1.48333333333333,2015-03-17 00:41:00,2015-03-17 00:35:31,0.541666666666667,0.75
3A00,BNDSGRN,2015-03-17 01:00:00,82207,1,-1.93333333333333,2015-03-17 00:58:56,2015-03-17 00:57:00,0,0.25
5D33,LEEDS,2015-03-17 00:25:00,82205,1,1.5,2015-03-17 00:37:58,2015-03-17 00:33:02,2.46666666666667,0.333333333333333
3A00,BNDSGRN,2015-03-17 01:00:00,82231,1,-2.55,2015-03-17 02:42:33,2015-03-17 02:40:00,0,0.0909090909090909
5D02,FRMPKRS,2015-03-17 02:27:00,82231,1,-0.391666666666667,2015-03-17 02:46:41,2015-03-17 02:42:33,1.42083333333333,0.333333333333333
5D02,FRMPKRS,2015-03-17 02:27:00,82204,2,0.483333333333333,2015-03-17 02:45:00,2015-03-17 02:35:00,3.93333333333333,0.666666666666667
5D02,FRMPKRS,2015-03-17 02:27:00,82228,1,4.66666666666667,2015-03-17 03:00:00,2015-03-17 02:55:20,0,0.333333333333333
5D01,BNDSGRN,2015-03-17 02:08:00,82204,1,-2.98333333333333,2015-03-17 02:33:59,2015-03-17 02:31:00,0,0.2
5D02,FRMPKRS,2015-03-17 02:27:00,82208,2,-0.6,2015-03-17 03:00:00,2015-03-17 02:45:00,2.03333333333333,0.666666666666667
3A00,BNDSGRN,2015-03-17 01:00:00,82216,1,-1.53333333333333,2015-03-17 02:42:43,2015-03-17 02:40:00,1.18333333333333,0.0909090909090909
3A00,BNDSGRN,2015-03-17 01:00:00,82220,1,1.275,2015-03-17 02:40:00,2015-03-17 02:38:08,0.591666666666667,0.0909090909090909
