headcode,origin_location,origin_departure,gps_car_id,total_matching,median_time_error,end,start,iqr_time_error,matched_over_total
2U28,LEEDS,2016-03-30 11:26:00,150137,1,4.6,2016-03-30 11:26:00,2016-03-30 11:21:24,0,0.2
2W22,NUNTHRP,2016-03-30 09:16:00,156443,1,-0.6,2016-03-30 11:09:36,2016-03-30 11:09:00,0,0.05
2C23,KNRSBGH,2016-03-30 11:06:00,150224,2,-1.16666666666667,2016-03-30 11:10:35,2016-03-30 11:09:00,0.833333333333333,0.222222222222222
2N20,SHEFFLD,2016-03-30 10:14:00,150143,2,-1.56666666666667,2016-03-30 11:32:14,2016-03-30 11:29:00,1.66666666666667,0.0666666666666667
2C25,YORK,2016-03-30 11:11:00,150144,4,-1.3,2016-03-30 11:28:00,2016-03-30 11:22:38,6.16666666666667,0.5
1L81,LEEDS,2016-03-30 10:40:00,158850,2,1.9,2016-03-30 11:14:00,2016-03-30 11:09:56,1.33333333333333,0.133333333333333
2H48,LVRPLSH,2016-03-29 23:38:00,156463,2,-3.61666666666667,2016-03-30 00:12:57,2016-03-30 00:09:00,0.666666666666667,0.222222222222222
5J57,MNCRPIC,2016-03-30 11:02:00,150133,1,1.38333333333333,2016-03-30 11:13:00,2016-03-30 11:11:07,0.5,0.125
2N45,LEEDS,2016-03-29 23:05:00,158861,1,4.6,2016-03-30 00:13:00,2016-03-30 00:08:24,0,0.142857142857143
2R67,SHEFFLD,2016-03-30 11:24:00,158842,1,4.15,2016-03-30 11:35:00,2016-03-30 11:30:51,0,0.25
2H98,MNCRPIC,2016-03-29 23:10:00,150205,1,-0.85,2016-03-30 00:07:51,2016-03-30 00:07:00,0,1
2N24,HAZL,2016-03-30 10:36:00,150103,3,-1.45,2016-03-30 11:14:07,2016-03-30 11:09:00,2.375,0.111111111111111
5J52,MNCROXR,2016-03-29 23:00:00,150134,1,-0.283333333333333,2016-03-30 00:00:17,2016-03-30 00:00:00,0,1
5M76,RCHDALE,2016-03-29 23:55:00,142057,1,-3.38333333333333,2016-03-30 00:14:23,2016-03-30 00:11:00,0,1
5H28,ALDEDGE,2016-03-29 23:46:00,156482,4,-0.2,2016-03-30 00:10:00,2016-03-30 00:01:00,3.20833333333333,0.8
5F91,KNTNGLY,2016-03-29 23:38:00,153378,4,-0.766666666666667,2016-03-30 00:15:46,2016-03-30 00:01:00,0.0833333333333334,0.8
5H82,SKPT,2016-03-30 00:08:00,158905,1,-0.333333333333333,2016-03-30 00:16:35,2016-03-30 00:09:15,6.20833333333333,1
5H67,MNCRPIC,2016-03-30 00:14:00,156425,1,3.35,2016-03-30 00:08:00,2016-03-30 00:03:34,1.08333333333333,0.25
2N46,SHEFFLD,2016-03-29 23:15:00,153378,1,-3.1,2016-03-30 00:26:06,2016-03-30 00:23:00,0,0.125
5H67,MNCRPIC,2016-03-30 00:14:00,156482,1,3.38333333333333,2016-03-30 00:08:00,2016-03-30 00:03:37,1,0.25
5J93,SBYD,2016-03-29 23:38:00,142037,1,-0.25,2016-03-30 00:03:55,2016-03-30 00:02:35,0.666666666666667,1
5J52,MNCROXR,2016-03-29 23:00:00,156491,1,-0.783333333333333,2016-03-30 00:00:47,2016-03-30 00:00:00,0,1
2S67,SHEFFLD,2016-03-29 22:48:00,156464,1,-0.666666666666667,2016-03-30 00:03:40,2016-03-30 00:03:00,0,0.5
5J32,MNCRPIC,2016-03-29 23:41:00,150146,2,0.8,2016-03-30 00:15:32,2016-03-30 00:10:02,2.75,0.5
2S69,NWMILSC,2016-03-29 23:30:00,142052,1,0.316666666666667,2016-03-30 00:02:00,2016-03-30 00:01:41,0,1
2S69,NWMILSC,2016-03-29 23:30:00,156482,1,-2.61666666666667,2016-03-30 00:05:37,2016-03-30 00:02:00,1,1
5H70,HADFILD,2016-03-29 23:32:00,156425,3,-1.4,2016-03-30 00:11:00,2016-03-30 00:03:00,3.41666666666667,1
5J32,MNCRPIC,2016-03-29 23:41:00,142037,1,2.58333333333333,2016-03-30 00:14:00,2016-03-30 00:11:25,0,0.25
5J93,SBYD,2016-03-29 23:38:00,150271,1,2.78333333333333,2016-03-30 00:03:00,2016-03-30 00:00:13,0,1
2P92,WORKSOP,2016-03-29 23:28:00,158861,1,-1.99166666666667,2016-03-30 00:05:44,2016-03-30 00:03:00,0.741666666666666,0.5
5H72,GLSP,2016-03-30 00:08:00,158795,2,1,2016-03-30 00:30:00,2016-03-30 00:23:10,0.166666666666667,0.4
